Date,Open,High,Low,Close
03/19/2025,"82,266","85,951","81,874","85,465"
03/18/2025,"84,470","84,486","81,137","82,266"
03/17/2025,"83,089","84,732","82,000","84,470"
03/16/2025,"84,289","85,005","82,404","83,089"
03/15/2025,"84,584","84,667","83,646","84,289"
03/14/2025,"80,136","85,292","80,136","84,584"
03/13/2025,"82,924","84,271","79,936","80,136"
03/12/2025,"83,107","84,303","80,627","82,924"
03/11/2025,"78,906","83,575","76,608","83,107"
03/10/2025,"82,573","83,931","77,429","78,906"
03/09/2025,"86,257","86,477","82,212","82,573"
03/08/2025,"86,965","87,259","85,247","86,257"
03/07/2025,"89,025","91,170","84,742","86,965"
03/06/2025,"90,491","92,783","87,834","89,025"
03/05/2025,"86,813","90,891","86,370","90,491"
03/04/2025,"85,937","88,792","81,495","86,813"
03/03/2025,"94,357","94,821","85,136","85,937"
03/02/2025,"85,475","95,049","85,035","94,357"
03/01/2025,"84,108","86,508","83,793","85,475"
02/28/2025,"83,397","85,068","78,239","84,108"
02/27/2025,"84,210","86,966","82,617","83,397"
02/26/2025,"87,986","89,345","82,201","84,210"
02/25/2025,"93,981","94,304","85,991","87,979"
02/24/2025,"95,792","96,501","93,708","93,981"
02/23/2025,"96,589","96,703","95,268","95,792"
02/22/2025,"94,888","96,940","94,888","96,589"
02/21/2025,"98,502","99,502","94,860","94,882"
02/20/2025,"96,139","98,757","96,067","98,498"
02/19/2025,"94,146","96,673","94,105","96,136"
02/18/2025,"95,993","96,703","93,352","94,143"
02/17/2025,"96,923","97,248","95,230","95,994"
02/16/2025,"97,531","97,742","96,695","96,923"
02/15/2025,"97,217","97,975","96,758","97,531"
02/14/2025,"96,285","98,874","96,281","97,216"
02/13/2025,"97,050","98,099","95,237","96,284"
02/12/2025,"95,274","97,671","94,084","97,054"
02/11/2025,"97,366","98,487","94,861","95,272"
02/10/2025,"96,342","98,332","94,751","97,366"
02/09/2025,"96,472","97,328","95,807","96,342"
02/08/2025,"95,753","96,889","95,674","96,472"
02/07/2025,"96,899","100,189","95,684","95,753"
02/06/2025,"97,326","99,159","95,709","96,894"
02/05/2025,"98,684","99,146","96,230","97,326"
02/04/2025,"101,237","102,539","97,946","98,686"
02/03/2025,"97,767","102,116","91,229","101,239"
02/02/2025,"101,299","101,532","96,801","97,767"
02/01/2025,"101,623","102,748","100,957","101,299"
01/31/2025,"104,904","106,062","101,571","101,625"
01/30/2025,"104,222","106,439","103,346","104,897"
01/29/2025,"101,203","104,760","100,237","104,223"
01/28/2025,"101,402","103,723","100,952","101,200"
01/27/2025,"104,923","104,962","97,740","101,406"
01/26/2025,"104,950","105,428","104,448","104,923"
01/25/2025,"104,813","105,432","104,123","104,950"
01/24/2025,"103,322","107,151","102,325","104,812"
01/23/2025,"104,275","106,852","101,241","103,320"
01/22/2025,"106,128","106,818","103,339","104,270"
01/21/2025,"103,554","107,225","100,105","106,126"
01/20/2025,"106,183","109,225","99,521","103,555"
01/19/2025,"103,936","106,276","103,357","106,183"
01/18/2025,"104,764","105,079","102,260","103,936"
01/17/2025,"100,311","105,925","99,395","104,768"
01/16/2025,"99,615","100,857","97,336","100,308"
01/15/2025,"96,496","100,707","96,289","99,618"
01/14/2025,"93,557","97,334","93,395","96,504"
01/13/2025,"94,639","95,837","89,325","93,562"
01/12/2025,"94,547","95,351","93,710","94,638"
01/11/2025,"94,673","94,907","93,845","94,547"
01/10/2025,"91,861","95,766","91,653","94,674"
01/09/2025,"93,931","95,331","91,217","91,860"
01/08/2025,"96,466","97,248","92,568","93,929"
01/07/2025,"102,253","102,710","96,130","96,462"
01/06/2025,"98,253","102,497","97,923","102,259"
01/05/2025,"98,590","98,735","97,272","98,252"
01/04/2025,"98,305","98,610","97,560","98,590"
01/03/2025,"97,227","98,937","96,037","98,309"
01/02/2025,"94,588","97,743","94,206","97,228"
01/01/2025,"93,412","94,650","92,782","94,588"
12/31/2024,"94,201","96,098","91,797","93,414"
12/30/2024,"93,668","94,867","91,323","94,202"
12/29/2024,"94,907","95,516","93,209","93,668"
12/28/2024,"94,444","95,123","94,013","94,907"
12/27/2024,"95,452","97,268","93,304","94,448"
12/26/2024,"99,073","99,872","95,104","95,454"
12/25/2024,"97,239","99,254","97,224","99,074"
12/24/2024,"93,029","99,419","93,026","97,242"
12/23/2024,"95,492","96,399","92,403","93,033"
12/22/2024,"97,413","97,523","94,339","95,492"
12/21/2024,"96,376","99,493","95,397","97,413"
12/20/2024,"96,273","98,295","92,175","96,378"
12/19/2024,"100,648","102,734","95,585","96,274"
12/18/2024,"106,734","106,785","100,231","100,636"
12/17/2024,"105,877","108,309","105,520","106,735"
12/16/2024,"103,115","107,812","102,623","105,883"
12/15/2024,"100,729","103,383","100,729","103,114"
12/14/2024,"101,709","102,640","100,624","100,728"
12/13/2024,"99,970","101,909","99,246","101,709"
12/12/2024,"101,427","102,554","99,335","99,960"
12/11/2024,"96,506","101,795","95,747","101,433"
12/10/2024,"96,189","98,278","94,334","96,505"
12/09/2024,"99,864","101,399","96,128","96,187"
12/08/2024,"100,382","100,530","98,767","99,864"
12/07/2024,"101,582","101,615","99,096","100,382"
12/06/2024,"99,137","102,085","92,251","101,581"
12/05/2024,"98,975","103,853","97,658","99,137"
12/04/2024,"95,672","99,219","94,679","98,972"
12/03/2024,"95,675","96,281","93,609","95,674"
12/02/2024,"97,137","98,187","94,491","95,673"
12/01/2024,"97,030","97,567","95,768","97,137"
11/30/2024,"97,416","97,557","96,152","97,030"
11/29/2024,"94,825","98,729","94,825","97,416"
11/28/2024,"96,625","96,712","94,688","94,825"
11/27/2024,"90,981","97,366","90,784","96,626"
11/26/2024,"94,859","95,134","90,755","90,982"
11/25/2024,"96,884","98,966","94,491","94,856"
11/24/2024,"97,828","98,657","95,795","96,884"
11/23/2024,"99,292","99,489","97,256","97,828"
11/22/2024,"98,326","99,768","97,229","99,291"
11/21/2024,"94,377","99,028","93,885","98,334"
11/20/2024,"92,601","94,963","91,517","94,379"
11/19/2024,"91,573","94,039","90,323","92,607"
11/18/2024,"89,636","92,594","88,743","91,574"
11/17/2024,"90,799","91,428","89,432","89,636"
11/16/2024,"91,487","91,881","90,117","90,799"
11/15/2024,"87,568","91,487","86,706","91,487"
11/14/2024,"89,801","91,773","87,563","87,565"
11/13/2024,"89,530","93,445","86,270","89,801"
11/12/2024,"87,105","89,995","85,157","89,525"
11/11/2024,"79,002","87,491","78,553","87,115"
